RK,PLAYER,TEAM,OPP,SCORE,MIN,FGM-A,3PM-A,FTM-A,REB,AST,STL,BLK,TO,PTS,ESPN,DScore,OScore
2,A. Davis,LAL,@SA,109-103 W,35,13-26,4-6,4-7,11,5,2,0,1,34,56.5,13,29.25
3,G. Antetokounmpo,Mil,Chi,96-126 W,28,9-19,1-5,10-18,12,8,2,2,2,29,53.2,16,28
4,M. Conley,UTAH,LAC,100-106 W,34,11-20,7-14,4-4,2,7,1,0,2,33,52.7,3,29.5
5,K. Leonard,LAC,@UTAH,100-106 L,39,8-19,2-4,2-4,16,9,0,3,0,20,51.9,19,19.25
6,B. Beal,WSH,@Min,130-109 W,28,12-20,3-5,4-5,3,7,1,0,2,31,50.7,4,29
7,L. James,LAL,@SA,109-103 W,36,8-22,3-7,7-7,11,10,2,0,4,26,50.3,13,23
8,L. Doncic,Dal,Mia,83-93 W,36,9-22,3-10,6-9,15,7,0,1,5,27,48.9,16,20
9,J. Murray,Den,PHX,106-103 L,41,12-22,4-8,3-3,4,5,2,0,3,31,48.7,6,22.75
10,D. DeRozan,SA,LAL,109-103 L,37,8-16,3-4,4-5,9,7,0,1,0,23,46.5,10,20.75
11,K. Durant,BKN,Atl,114-96 L,37,10-21,2-7,6-6,8,4,1,2,5,28,45.6,11,17.75
12,N. Jokic,Den,PHX,106-103 L,30,7-13,3-5,0-0,9,11,1,0,1,17,45.4,10,19.5
13,K. Johnson,SA,LAL,109-103 L,35,7-11,5-9,7-8,10,1,2,1,4,26,45.3,13,14.25
14,J. Brown,Bos,@Det,93-96 L,38,12-21,1-7,0-0,9,2,3,2,4,25,45.1,14,13.5
15,S. Curry,GS,Por,123-98 L,34,9-20,4-12,4-4,8,5,0,0,1,26,43.5,8,21.5
16,D. Ayton,PHX,@Den,106-103 W,38,10-13,0-1,2-2,11,1,0,2,4,22,42.5,13,9.5
17,C. McCollum,Por,@GS,123-98 W,34,11-21,4-11,2-3,1,4,3,0,0,28,42.3,4,23.5
18,K. Anderson,Mem,@Cha,108-93 W,29,7-15,2-6,2-2,11,5,2,1,0,18,41.5,14,15.75
19,D. Hunter,Atl,@BKN,114-96 W,31,9-10,3-4,2-2,6,1,0,0,0,23,40.6,6,16.25
20,P. George,LAC,@UTAH,100-106 L,38,6-22,5-13,8-8,8,4,6,1,5,25,40.2,15,14.5
21,B. Adebayo,Mia,@Dal,83-93 L,36,8-12,0-0,3-4,11,2,4,0,3,19,39.5,15,9
22,J. Tatum,Bos,@Det,93-96 L,37,11-24,3-11,3-5,6,2,1,1,3,28,38.4,8,17.75
23,J. Collins,Atl,@BKN,114-96 W,25,9-14,2-5,0-0,8,2,0,1,0,20,38.2,9,15.75
24,C. Paul,PHX,@Den,106-103 W,32,6-12,1-2,8-8,5,6,0,1,2,21,38.1,6,17
25,B. Biyombo,Cha,Mem,108-93 L,28,7-10,0-1,2-4,12,2,0,1,0,16,35.7,13,11
26,T. Young,Atl,@BKN,114-96 W,32,7-21,3-8,4-4,5,7,1,1,3,21,34.4,7,17
27,T. Bryant,WSH,@Min,130-109 W,22,7-7,1-1,3-4,7,2,0,0,2,18,33.9,7,12.5
28,J. Ingles,UTAH,LAC,100-106 W,33,5-7,1-3,0-0,8,7,0,0,1,11,32,8,8.75
29,K. Irving,BKN,Atl,114-96 L,33,6-21,2-11,4-4,11,4,2,0,1,18,31.9,13,12.75
30,C. Capela,Atl,@BKN,114-96 W,30,6-10,0-0,0-2,11,6,0,0,1,12,31.9,11,9.5
1,M. Brogdon,Ind,NY,106-102 L,41,12-18,7-10,2-2,3,7,2,0,1,33,58.3,5,28.75
2,N. Vucevic,Orl,Okc,108-99 L,35,13-21,4-7,0-0,13,2,0,0,1,30,53.7,13,22.25
3,T. Harris,Phi,Cha,112-127 W,37,9-14,4-7,2-2,9,6,4,3,5,24,53.6,16,15.75
4,T. Rozier,Cha,@Phi,112-127 L,34,12-18,7-11,4-4,2,3,1,0,2,35,52.5,3,27.5
5,F. VanVleet,Tor,@NO,116-120 L,40,9-23,4-13,5-5,8,5,1,1,0,27,45.5,10,22
6,J. Wall,Hou,Sac,94-102 W,37,11-22,2-8,4-6,4,6,3,2,5,28,45.3,9,19.75
7,B. Ingram,NO,Tor,116-120 W,35,8-17,4-8,11-14,6,4,0,1,3,31,45.1,7,23.25
8,B. Simmons,Phi,Cha,112-127 W,37,6-9,0-0,3-5,12,11,1,1,4,15,44.8,14,12.75
9,C. Wood,Hou,Sac,94-102 W,33,7-14,2-7,4-7,15,1,1,4,1,20,43.3,20,11.75
10,E. Bledsoe,NO,Tor,116-120 W,31,5-12,4-6,5-6,5,10,1,1,0,19,42.3,7,21.25
11,C. Sexton,Cle,@Atl,96-91 W,36,10-18,2-5,5-5,2,3,3,0,0,27,42.1,5,21
12,G. Hayward,Cha,@Phi,112-127 L,39,7-15,2-4,4-4,6,6,4,1,1,20,41.7,11,15.25
13,D. Bazley,Okc,@Orl,108-99 W,32,7-10,2-4,3-3,12,2,0,1,0,19,41.6,13,13
14,J. Embiid,Phi,Cha,112-127 W,37,7-11,1-2,4-6,14,4,1,1,5,19,41.2,16,8.75
15,C. Boucher,Tor,@NO,116-120 L,29,7-13,1-4,9-9,5,1,2,1,0,24,38.8,8,17.75
16,R. Barrett,NY,@Ind,106-102 W,42,8-15,4-5,5-6,5,3,0,0,1,25,38.4,5,16.5
17,S. Curry,Phi,Cha,112-127 W,34,8-11,3-6,2-2,0,6,1,1,2,21,38,2,16.5
18,C. Capela,Atl,Cle,96-91 L,31,8-12,0-0,0-5,16,0,3,2,3,16,36.5,21,5.25
19,T. Ross,Orl,Okc,108-99 L,31,9-21,4-9,4-5,5,2,1,0,0,26,36.4,6,20.25
20,M. Robinson,NY,@Ind,106-102 W,29,8-10,0-0,0-0,9,1,0,2,0,16,35.6,11,9.75
21,D. Sabonis,Ind,NY,106-102 L,39,4-8,1-1,4-4,13,4,2,0,4,13,33.1,15,3.25
22,E. Payton,NY,@Ind,106-102 W,34,8-17,0-1,3-4,8,5,0,0,3,19,32.7,8,12.5
23,G. Hill,Okc,@Orl,108-99 W,28,7-12,3-7,1-1,1,5,2,0,1,18,32.1,3,15
24,E. Gordon,Hou,Sac,94-102 W,33,7-18,3-12,4-4,3,4,2,1,3,21,31.6,6,13.75
25,Z. Williamson,NO,Tor,116-120 W,33,7-12,0-0,7-10,7,1,0,1,3,21,31.1,8,10.75
26,J. McGee,Cle,@Atl,96-91 W,25,6-11,0-0,2-5,9,4,2,1,2,14,30.7,12,9.75
27,J. Randle,NY,@Ind,106-102 W,37,5-16,2-5,0-0,11,8,2,0,4,12,30.6,13,6.75
28,K. Lowry,Tor,@NO,116-120 L,39,4-14,3-11,5-5,6,8,0,0,2,16,30.6,6,12.25
29,D. Fox,Sac,@Hou,94-102 L,36,8-19,0-3,7-10,2,4,2,1,3,23,30.5,5,15
30,H. Barnes,Sac,@Hou,94-102 L,38,7-13,2-4,3-5,7,0,1,0,0,19,29.4,8,9.5
